01/11/2017 15:44:39 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:39 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:39 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:39 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:39 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:39 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:40 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:40 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:40 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:40 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:40 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:40 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:41 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:41 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:41 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:41 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:41 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:42 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:42 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:42 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:42 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:42 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:43 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:43 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:43 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:43 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:43 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:43 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:44 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:44 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:44 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:44 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:44 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:45 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:45 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:45 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:45 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:45 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:46 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:44:46 | SUCCESS | Add New Slider Image(C:\fakepath\Screenshot from 2017-09-11 02-52-42.png) | By-Test_ott025 | 
01/11/2017 15:45:20 | SUCCESS | update Slider Detail(testtttttt,'jjhfiphjhfghjhgjijgiujighijijhkjgjgjjgjgjgjgjjjgjgjgijijhgijhijhjhjijhjuuuuuu') | By-Test_ott025 | 
01/11/2017 15:45:38 | SUCCESS | update Slider Detail(testtttttt,'jjhfiphjhfghjhgjijgiujighijijhkjgjgjjgjgjgjgjjjgjgjgijijhgijhijhjhjijhjummmmmmmmmuuuuu') | By-Test_ott025 | 
01/11/2017 15:47:08 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
01/11/2017 15:47:48 | SUCCESS | Add New Slider Image(C:\fakepath\AST0001.jpg) | By-Test_ott025 | 
01/11/2017 15:48:57 | SUCCESS | update Slider Detail(asdd,'5555555555556') | By-Test_ott025 | 
01/11/2017 15:50:20 | SUCCESS | update Slider Detail(testtttttt,'jjhfiphjhfghjhgjijgiujighijijhkjgjgjjgjgjgjgjjjgjgjgijijhgijhijhjhjijhjkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk') | By-Test_ott025 | 
01/11/2017 16:02:30 | SUCCESS | Save New video(0_3ppy8vke) | By-Test_ott025 | 
01/11/2017 16:02:57 | SUCCESS | Save New video(0_2uj2lq21) | By-Test_ott025 | 
01/11/2017 16:03:13 | SUCCESS | Save New video(0_ozj4cwt7) | By-Test_ott025 | 
01/11/2017 16:07:10 | SUCCESS | Add New Slider Image(C:\fakepath\AST0003.jpg) | By-Test_ott025 | 
01/11/2017 16:13:04 | SUCCESS | Add New Slider Image(C:\fakepath\AST0001.jpg) | By-Test_ott025 | 
01/11/2017 16:13:34 | SUCCESS | Add New Slider Image(C:\fakepath\VA876541.jpg) | By-Test_ott025 | 
01/11/2017 16:44:10 | SUCCESS | Add New Slider Image(C:\fakepath\BDV2967-SeanChuma.jpg) | By-Test_ott025 | 
01/11/2017 16:45:10 | SUCCESS | Add New Slider Image(C:\fakepath\BDV2967-SeanChuma.jpg) | By-Test_ott025 | 
01/11/2017 16:48:14 | SUCCESS | Add New Slider Image(C:\fakepath\BDV2967-SeanChuma.jpg) | By-Test_ott025 | 
01/11/2017 17:08:59 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
01/11/2017 17:15:41 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
01/11/2017 17:39:42 | SUCCESS | Add New Slider Image(C:\fakepath\batman.jpg) | By-Test_ott025 | 
01/11/2017 17:40:27 | SUCCESS | Add New Slider Image(C:\fakepath\fantastic beasts.jpg) | By-Test_ott025 | 
01/11/2017 17:40:53 | SUCCESS | Add New Slider Image(C:\fakepath\mastermind.jpg) | By-Test_ott025 | 
01/11/2017 17:41:34 | SUCCESS | Add New Slider Image(C:\fakepath\BDV2967-SeanChuma.jpg) | By-Test_ott025 | 
01/11/2017 17:41:44 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
01/11/2017 17:43:13 | SUCCESS | Add New Slider Image(C:\fakepath\our kind of traitor.jpg) | By-Test_ott025 | 
01/11/2017 17:44:06 | SUCCESS | Add New Slider Image(C:\fakepath\batman.jpg) | By-Test_ott025 | 
01/11/2017 17:45:14 | SUCCESS | Add New Slider Image(C:\fakepath\BDV2920---Flexible-Smartphone---Online-Us.jpg) | By-Test_ott025 | 
01/11/2017 17:45:52 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
01/11/2017 17:47:53 | SUCCESS | Add New Slider Image(C:\fakepath\palatterahero.jpg) | By-Test_ott025 | 
01/11/2017 17:50:26 | SUCCESS | Add New Slider Image(C:\fakepath\rogue one.jpg) | By-Test_ott025 | 
01/11/2017 17:50:47 | SUCCESS | Add New Slider Image(C:\fakepath\docter strange.jpg) | By-Test_ott025 | 
01/11/2017 17:51:10 | SUCCESS | Add New Slider Image(C:\fakepath\partyonmymind.jpg) | By-Test_ott025 | 
01/11/2017 17:51:51 | SUCCESS | Add New Slider Image(C:\fakepath\palatterahero.jpg) | By-Test_ott025 | 
01/11/2017 17:52:21 | SUCCESS | Add New Slider Image(C:\fakepath\partyonmymind.jpg) | By-Test_ott025 | 
01/11/2017 17:53:41 | SUCCESS | Add New Slider Image(C:\fakepath\batman.jpg) | By-Test_ott025 | 
01/11/2017 17:53:41 | SUCCESS | Add New Slider Image(C:\fakepath\batman.jpg) | By-Test_ott025 | 
01/11/2017 17:54:16 | SUCCESS | Add New Slider Image(C:\fakepath\mastermind.jpg) | By-Test_ott025 | 
01/11/2017 17:55:48 | SUCCESS | Add New Slider Image(C:\fakepath\our kind of traitor.jpg) | By-Test_ott025 | 
01/11/2017 17:56:57 | SUCCESS | Add New Slider Image(C:\fakepath\soorajdoobahai1.jpg) | By-Test_ott025 | 
01/11/2017 18:40:30 | SUCCESS | Add New Slider Image(poster.jpeg) | By-Test_ott025 | 
