03/11/2017 16:12:43 | SUCCESS | update Slider Detail(0_eog3fxpf,'0_6FGHGHGHHG6666TTTTTTTTTT666666536666666666666HTH6HHHHHHHHHHHHHHH6fgggggggggggg\'///ip97 789566943345454453454343434534453446666666666666666666666226353535353535353535353535353535353535353535353535353') | By-Test_ott025 | 
03/11/2017 16:14:32 | SUCCESS | update Slider Detail(0_eog3fxpf,'                   ') | By-Test_ott025 | 
03/11/2017 16:14:43 | SUCCESS | update Slider Detail(0_eog3fxpf,'0_z5z2bbzqo                            jjjjjjjjjjjjjjj                               jjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjllll                 lllll                                                       ') | By-Test_ott025 | 
03/11/2017 16:19:24 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
03/11/2017 16:19:35 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
03/11/2017 16:19:40 | SUCCESS | update Slider Detail(,'') | By-Test_ott025 | 
03/11/2017 16:19:44 | SUCCESS | update Slider Detail(,'') | By-Test_ott025 | 
03/11/2017 16:20:55 | SUCCESS | update Slider Detail(0_eog3fxpf,'v') | By-Test_ott025 | 
03/11/2017 16:20:59 | SUCCESS | update Slider Detail(0_eog3fxpf,'v') | By-Test_ott025 | 
03/11/2017 16:22:12 | SUCCESS | update Slider Detail(0_eog3fxpf,'v\'\'\'\'\'\'\'\'\'\'\'\'') | By-Test_ott025 | 
03/11/2017 16:28:13 | SUCCESS | Slider priority  Set | By-Test_ott025 | 
03/11/2017 16:47:27 | SUCCESS | update Slider Detail(0_eog3fxpf,'                   ') | By-Test_ott025 | 
03/11/2017 16:47:27 | SUCCESS | update Slider Detail(0_eog3fxpf,'                   ') | By-Test_ott025 | 
03/11/2017 16:57:30 | SUCCESS | Save New video(0_7grqhr56) | By-Test_ott025 | 
03/11/2017 16:58:22 | SUCCESS | Add New Slider Image(C:\fakepath\AST0003.jpg) | By-Test_ott025 | 
03/11/2017 16:58:43 | SUCCESS | update Slider Detail(0_eog3fxpf,'                   ') | By-Test_ott025 | 
