13/12/2017 11:34:48 | SUCCESS | save Category thumb | By-varun_ott025 | UPDATE category_thumb_icon_url SET host_url_thumb='http://cmsplanetcast.planetcast.in',t_original_url='/varun/data/varun_ott025/upload_thumb/9DTZ4Y93KVWP.jpeg',
t_small_url='/varun/data/varun_ott025/upload_thumb/320_9DTZ4Y93KVWP.jpeg',t_mediam_url='/varun/data/varun_ott025/upload_thumb/380_9DTZ4Y93KVWP.jpeg',t_large_url='/varun/data/varun_ott025/upload_thumb/480_9DTZ4Y93KVWP.jpeg',
t_custom_url='/varun/data/varun_ott025/upload_thumb/720_9DTZ4Y93KVWP.jpeg',updated_at=NOW() where category_id='142'
13/12/2017 11:35:31 | SUCCESS | Update Category(DRIFT111) | By-varun_ott025 | update categories set cat_name='DRIFT111',description='',tags='',fullname='ON DEMAND>AUTOMOBILES>DRIFT111' where category_id='142'
13/12/2017 11:35:39 | SUCCESS | Update Category(DRIFT) | By-varun_ott025 | update categories set cat_name='DRIFT',description='',tags='',fullname='ON DEMAND>AUTOMOBILES>DRIFT' where category_id='142'
13/12/2017 11:35:46 | SUCCESS | Update Category(DRIFT) | By-varun_ott025 | update categories set cat_name='DRIFT',description='',tags='',fullname='ON DEMAND>AUTOMOBILES>DRIFT' where category_id='142'
13/12/2017 11:36:03 | SUCCESS | Update Category(DRIFT898) | By-varun_ott025 | update categories set cat_name='DRIFT898',description='',tags='',fullname='ON DEMAND>AUTOMOBILES>DRIFT898' where category_id='142'
13/12/2017 11:36:08 | SUCCESS | Update Category(DRIFT898) | By-varun_ott025 | update categories set cat_name='DRIFT898',description='',tags='',fullname='ON DEMAND>AUTOMOBILES>DRIFT898' where category_id='142'
13/12/2017 11:36:31 | SUCCESS | Update Category(DRIFT) | By-varun_ott025 | update categories set cat_name='DRIFT',description='',tags='',fullname='ON DEMAND>AUTOMOBILES>DRIFT' where category_id='142'
13/12/2017 11:36:32 | SUCCESS | Update Category(DRIFT) | By-varun_ott025 | update categories set cat_name='DRIFT',description='',tags='',fullname='ON DEMAND>AUTOMOBILES>DRIFT' where category_id='142'
13/12/2017 12:02:25 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
13/12/2017 12:08:19 | SUCCESS | update Slider Detail(,'') | By-varun_ott025 | 
13/12/2017 12:08:55 | SUCCESS | update Slider Detail(,'') | By-varun_ott025 | 
13/12/2017 12:09:14 | SUCCESS | update Slider Detail(,'') | By-varun_ott025 | 
13/12/2017 12:09:26 | SUCCESS | update Slider Detail(0_q4k1cbrc,'0_q4k1cbrc') | By-varun_ott025 | 
13/12/2017 12:12:30 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
13/12/2017 12:12:52 | SUCCESS | Add New Slider Image(C:\fakepath\BDV2967-SeanChuma.jpg) | By-Test_ott025 | 
13/12/2017 12:13:11 | SUCCESS | Delete slider Image (189) | By-varun_ott025 | delete from slider_image_detail where img_id='189'
13/12/2017 12:13:15 | SUCCESS | Delete slider Image (188) | By-varun_ott025 | delete from slider_image_detail where img_id='188'
13/12/2017 12:13:21 | SUCCESS | Delete slider Image (186) | By-varun_ott025 | delete from slider_image_detail where img_id='186'
13/12/2017 12:13:42 | SUCCESS | Add New Slider Image(C:\fakepath\ishqshava2.jpg) | By-Test_ott025 | 
13/12/2017 12:13:46 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
13/12/2017 12:13:55 | SUCCESS | Delete slider Image (192) | By-varun_ott025 | delete from slider_image_detail where img_id='192'
13/12/2017 12:14:14 | SUCCESS | Slider image inactive(SliderID:187,Status:inactive) | By-varun_ott025 | 
13/12/2017 12:14:21 | SUCCESS | Delete slider Image (187) | By-varun_ott025 | delete from slider_image_detail where img_id='187'
13/12/2017 12:16:35 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
13/12/2017 12:16:49 | SUCCESS | Delete slider Image (191) | By-varun_ott025 | delete from slider_image_detail where img_id='191'
13/12/2017 12:17:00 | SUCCESS | Slider priority Set | By-Test_ott025 | 
13/12/2017 12:17:26 | SUCCESS | Add New Slider Image(poster.jpeg) | By-varun_ott025 | 
13/12/2017 12:18:04 | SUCCESS | Delete slider Image (194) | By-varun_ott025 | delete from slider_image_detail where img_id='194'
13/12/2017 12:18:27 | SUCCESS | Delete slider Image (190) | By-varun_ott025 | delete from slider_image_detail where img_id='190'
13/12/2017 12:22:45 | SUCCESS | Delete slider Image (183) | By-varun_ott025 | delete from slider_image_detail where img_id='183'
13/12/2017 12:37:31 | SUCCESS | Add New Content Partner(sklkkdjfjsjdsdjsdjsdsdsdsdkjsj) | By-Test_ott025 | 
13/12/2017 12:37:57 | SUCCESS | Add New Content Partner(aassssssssssssssssssssssssssss) | By-Test_ott025 | 
13/12/2017 12:46:25 | SUCCESS | update Header Content Detail() | By-Test_ott025 | 
13/12/2017 12:46:42 | SUCCESS | update Header Content Detail() | By-Test_ott025 | 
13/12/2017 12:46:57 | SUCCESS | update Header Content Detail() | By-Test_ott025 | 
13/12/2017 12:47:14 | SUCCESS | update Header Content Detail() | By-Test_ott025 | 
13/12/2017 12:48:19 | SUCCESS | Slider priority Set | By-varun_ott025 | 
