14/11/2017 14:26:07 | SUCCESS | update Slider Detail(0_z5z2bbzq,';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;') | By-Test_ott025 | 
14/11/2017 14:39:07 | SUCCESS | update Slider Detail(,'44444444444444jjjjjjjjjjjjjjjjvvvvvvvvvvvvvvvvvvv') | By-Test_ott025 | 
14/11/2017 14:39:31 | SUCCESS | update Slider Detail(,'454545445454454545454545454545454445454454545445454545454545454445454545454554') | By-Test_ott025 | 
14/11/2017 14:41:58 | SUCCESS | Delete slider Image (176) | By-Test_ott025 | delete from slider_image_detail where img_id='176'
14/11/2017 14:42:05 | SUCCESS | update Slider Detail(,'fggg                      \r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\njhhhhhhhhhhh\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\njhhhhhhhhhhhhhh\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\nhjjjjjjjjjjjjjjjjjjjjjjjjj\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n@@@@@@@@@@@@@@@@@  ') | By-Test_ott025 | 
14/11/2017 14:42:15 | SUCCESS | update Slider Detail(,'v') | By-Test_ott025 | 
14/11/2017 14:42:24 | SUCCESS | update Slider Detail(,'++++') | By-Test_ott025 | 
14/11/2017 14:43:14 | SUCCESS | update Slider Detail(,'kkkkkkk') | By-Test_ott025 | 
14/11/2017 14:44:31 | SUCCESS | update Slider Detail(0_z5z2bbzq,'rtr4555555555555555555555555555555555555555555555555555555555555566666666666666666666666666666666^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^******************************m                  EEEEEEEEEEEEEEEEEEE') | By-Test_ott025 | 
14/11/2017 14:45:41 | SUCCESS | update Slider Detail(,'44444444444444jjjjjjjjjjjjjjjjvvvvvvvvvvvvvvvvvvv') | By-Test_ott025 | 
14/11/2017 14:47:16 | SUCCESS | update Slider Detail(,'aa') | By-Test_ott025 | 
14/11/2017 14:56:30 | SUCCESS | Slider image inactive(SliderID:168,Status:inactive) | By-Test_ott025 | 
14/11/2017 14:56:34 | SUCCESS | Delete slider Image (168) | By-Test_ott025 | delete from slider_image_detail where img_id='168'
14/11/2017 14:56:50 | SUCCESS | Slider image inactive(SliderID:164,Status:inactive) | By-Test_ott025 | 
14/11/2017 14:56:53 | SUCCESS | Slider image inactive(SliderID:170,Status:inactive) | By-Test_ott025 | 
14/11/2017 14:56:54 | SUCCESS | Home Setting inactive(HomeID:11,Status:inactive) | By-Test_ott025 | 
14/11/2017 14:56:56 | SUCCESS | Slider image inactive(SliderID:174,Status:inactive) | By-Test_ott025 | 
14/11/2017 14:56:59 | SUCCESS | Delete HomeSettingTag (11) | By-Test_ott025 | delete from home_title_tag where tags_id='11'
14/11/2017 14:57:01 | SUCCESS | Slider image inactive(SliderID:167,Status:inactive) | By-Test_ott025 | 
14/11/2017 14:57:06 | SUCCESS | Slider image inactive(SliderID:180,Status:inactive) | By-Test_ott025 | 
14/11/2017 14:57:10 | SUCCESS | Delete slider Image (173) | By-Test_ott025 | delete from slider_image_detail where img_id='173'
14/11/2017 14:57:42 | SUCCESS | update Slider Detail(,'Business requirement') | By-Test_ott025 | 
14/11/2017 14:58:22 | SUCCESS | update Slider Detail(,'Flower of the day') | By-Test_ott025 | 
14/11/2017 14:58:31 | SUCCESS | Slider image active(SliderID:164,Status:active) | By-Test_ott025 | 
14/11/2017 14:58:34 | SUCCESS | Slider image inactive(SliderID:164,Status:inactive) | By-Test_ott025 | 
14/11/2017 14:58:58 | SUCCESS | update Slider Detail(0_5jdlkth4,'Evening in fort                             ') | By-Test_ott025 | 
14/11/2017 14:59:06 | SUCCESS | Delete slider Image (171) | By-Test_ott025 | delete from slider_image_detail where img_id='171'
14/11/2017 14:59:52 | SUCCESS | update Slider Detail(,'Flower of the valley                          ') | By-Test_ott025 | 
14/11/2017 15:00:13 | SUCCESS | Delete slider Image (174) | By-Test_ott025 | delete from slider_image_detail where img_id='174'
14/11/2017 15:00:16 | SUCCESS | Delete slider Image (167) | By-Test_ott025 | delete from slider_image_detail where img_id='167'
14/11/2017 15:00:20 | SUCCESS | Delete slider Image (169) | By-Test_ott025 | delete from slider_image_detail where img_id='169'
14/11/2017 15:00:25 | SUCCESS | Delete slider Image (179) | By-Test_ott025 | delete from slider_image_detail where img_id='179'
14/11/2017 15:00:29 | SUCCESS | Delete slider Image (177) | By-Test_ott025 | delete from slider_image_detail where img_id='177'
14/11/2017 15:00:32 | SUCCESS | Delete slider Image (178) | By-Test_ott025 | delete from slider_image_detail where img_id='178'
14/11/2017 15:01:40 | SUCCESS | Delete slider Image (166) | By-Test_ott025 | delete from slider_image_detail where img_id='166'
14/11/2017 15:01:44 | SUCCESS | Delete slider Image (20001) | By-Test_ott025 | delete from slider_image_detail where img_id='20001'
14/11/2017 15:02:09 | SUCCESS | Slider priority Set | By-Test_ott025 | 
14/11/2017 15:02:23 | SUCCESS | Slider priority Set | By-Test_ott025 | 
14/11/2017 15:12:37 | SUCCESS | update HomeSettingTag Detail(14444) | By-Test_ott025 | 
14/11/2017 15:12:50 | SUCCESS | update HomeSettingTag Detail(14444) | By-Test_ott025 | 
14/11/2017 16:28:50 | SUCCESS | Home Setting active(HomeID:12,Status:active) | By-Test_ott025 | 
14/11/2017 16:48:56 | SUCCESS | Delete Video entry(0_jxr20m2r) | By-Test_ott025 | 
14/11/2017 16:48:57 | SUCCESS | Delete Video entry(0_aw9eywz2) | By-Test_ott025 | 
14/11/2017 16:48:57 | SUCCESS | Delete Video entry(0_d9aw4333) | By-Test_ott025 | 
14/11/2017 16:48:58 | SUCCESS | Delete Video entry(0_xywf58rm) | By-Test_ott025 | 
14/11/2017 16:48:58 | SUCCESS | Delete Video entry(0_m5e9ih90) | By-Test_ott025 | 
14/11/2017 16:48:59 | SUCCESS | Delete Video entry(0_5jdlkth4) | By-Test_ott025 | 
14/11/2017 16:49:00 | SUCCESS | Delete Video entry(0_c24k78z3) | By-Test_ott025 | 
14/11/2017 16:49:00 | SUCCESS | Delete Video entry(0_7grqhr56) | By-Test_ott025 | 
14/11/2017 16:49:00 | SUCCESS | Delete Video entry(0_y3jq0w5d) | By-Test_ott025 | 
14/11/2017 16:49:00 | SUCCESS | Delete Video entry(0_z5z2bbzq) | By-Test_ott025 | 
14/11/2017 16:49:01 | SUCCESS | Delete Video entry(0_eog3fxpf) | By-Test_ott025 | 
