30/05/2018 03:59:46 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
30/05/2018 05:18:54 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
30/05/2018 05:57:03 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
30/05/2018 06:36:16 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
30/05/2018 07:03:50 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
30/05/2018 07:09:59 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
30/05/2018 08:59:42 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
30/05/2018 10:31:29 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
30/05/2018 11:11:04 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
30/05/2018 11:11:52 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
30/05/2018 17:40:22 | SUCCESS | Delete Video entry(0_puv54vtu) | By-Adosphere_ott488 | 
30/05/2018 17:40:31 | SUCCESS | Delete Video entry(0_b3uhc9su) | By-Adosphere_ott488 | 
30/05/2018 17:40:40 | SUCCESS | Delete Video entry(0_a5nd71wo) | By-Adosphere_ott488 | 
