07/07/2018 04:18:21 | SUCCESS | login-(Geetanjali) | By-Geetanjali_ott488 | 
07/07/2018 04:43:13 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
07/07/2018 04:50:04 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
07/07/2018 04:57:30 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
07/07/2018 11:43:41 | SUCCESS | Bulk Add ContentPartner(Array,124) | By-Geetanjali_ott488 | 
07/07/2018 06:14:37 | SUCCESS | login-(Geetanjali) | By-Geetanjali_ott488 | 
07/07/2018 11:47:52 | SUCCESS | Bulk Add ContentPartner(Array,124) | By-Geetanjali_ott488 | 
07/07/2018 06:25:32 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
07/07/2018 06:28:04 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
07/07/2018 12:02:15 | SUCCESS | Bulk Add ContentPartner(Array,122) | By-Geetanjali_ott488 | 
07/07/2018 12:03:00 | SUCCESS | Bulk Add ContentPartner(Array,122) | By-Geetanjali_ott488 | 
07/07/2018 12:27:49 | SUCCESS | Bulk Add ContentPartner(Array,121) | By-Geetanjali_ott488 | 
07/07/2018 07:05:43 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
07/07/2018 07:24:12 | SUCCESS | login-(Geetanjali) | By-Geetanjali_ott488 | 
07/07/2018 13:01:21 | SUCCESS | Bulk Add ContentPartner(Array,120) | By-Geetanjali_ott488 | 
07/07/2018 13:01:54 | SUCCESS | Bulk Add ContentPartner(Array,122) | By-Geetanjali_ott488 | 
07/07/2018 13:02:26 | SUCCESS | Bulk Add ContentPartner(Array,122) | By-Geetanjali_ott488 | 
07/07/2018 14:35:35 | SUCCESS | Bulk Add ContentPartner(Array,122) | By-Geetanjali_ott488 | 
07/07/2018 14:36:42 | SUCCESS | Bulk Add ContentPartner(Array,122) | By-Geetanjali_ott488 | 
07/07/2018 14:37:17 | SUCCESS | Bulk Add ContentPartner(Array,122) | By-Geetanjali_ott488 | 
07/07/2018 14:37:37 | SUCCESS | Bulk Add ContentPartner(Array,122) | By-Geetanjali_ott488 | 
07/07/2018 14:39:44 | SUCCESS | Bulk Add ContentPartner(Array,121) | By-Geetanjali_ott488 | 
07/07/2018 14:43:12 | SUCCESS | Bulk Add ContentPartner(Array,120) | By-Geetanjali_ott488 | 
07/07/2018 09:18:12 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
07/07/2018 14:54:50 | SUCCESS | Bulk Add ContentPartner(Array,122) | By-Geetanjali_ott488 | 
07/07/2018 14:56:07 | SUCCESS | Bulk Add ContentPartner(Array,120) | By-Geetanjali_ott488 | 
07/07/2018 14:56:56 | SUCCESS | Bulk Add ContentPartner(Array,120) | By-Geetanjali_ott488 | 
07/07/2018 14:57:33 | SUCCESS | Bulk Add ContentPartner(Array,120) | By-Geetanjali_ott488 | 
07/07/2018 14:57:53 | SUCCESS | Bulk Add ContentPartner(Array,120) | By-Geetanjali_ott488 | 
07/07/2018 14:58:26 | SUCCESS | Bulk Add ContentPartner(Array,120) | By-Geetanjali_ott488 | 
07/07/2018 14:58:46 | SUCCESS | Bulk Add ContentPartner(Array,120) | By-Geetanjali_ott488 | 
07/07/2018 15:00:11 | SUCCESS | Bulk Add ContentPartner(Array,120) | By-Geetanjali_ott488 | 
07/07/2018 15:00:27 | SUCCESS | Bulk Add ContentPartner(Array,120) | By-Geetanjali_ott488 | 
07/07/2018 15:00:46 | SUCCESS | Bulk Add ContentPartner(Array,120) | By-Geetanjali_ott488 | 
07/07/2018 15:02:15 | SUCCESS | Bulk Add ContentPartner(Array,120) | By-Geetanjali_ott488 | 
07/07/2018 15:02:30 | SUCCESS | Bulk Add ContentPartner(Array,120) | By-Geetanjali_ott488 | 
07/07/2018 15:03:10 | SUCCESS | Bulk Add ContentPartner(Array,120) | By-Geetanjali_ott488 | 
07/07/2018 15:03:48 | SUCCESS | Bulk Add ContentPartner(Array,122) | By-Geetanjali_ott488 | 
07/07/2018 15:04:00 | SUCCESS | Bulk Add ContentPartner(Array,120) | By-Geetanjali_ott488 | 
07/07/2018 15:05:47 | SUCCESS | Bulk Add ContentPartner(Array,120) | By-Geetanjali_ott488 | 
07/07/2018 15:19:11 | SUCCESS | Bulk Add ContentPartner(Array,120) | By-Geetanjali_ott488 | 
07/07/2018 15:19:26 | SUCCESS | Bulk Add ContentPartner(Array,122) | By-Geetanjali_ott488 | 
07/07/2018 15:19:45 | SUCCESS | Bulk Add ContentPartner(Array,122) | By-Geetanjali_ott488 | 
07/07/2018 15:23:14 | SUCCESS | Add New Content Partner(Royalty Free) | By-Adosphere_ott488 | 
07/07/2018 15:30:43 | SUCCESS | Bulk Add ContentPartner(Array,125) | By-Geetanjali_ott488 | 
07/07/2018 10:43:47 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
07/07/2018 11:59:29 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
07/07/2018 12:48:39 | SUCCESS | login-(Ados) | By-Ados_ott488 | 
