30/06/2018 04:08:16 | SUCCESS | login-(Geetanjali) | By-Geetanjali_ott488 | 
30/06/2018 10:23:09 | SUCCESS | Delete Content Partner (14) | By-Adosphere_ott488 | DELETE FROM content_partner WHERE contentpartnerid='14'
30/06/2018 05:45:05 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
30/06/2018 06:40:19 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
30/06/2018 14:22:00 | SUCCESS | Save Thumbnail(0_qwy9sctn) | By-Adosphere_ott488 | 
30/06/2018 14:26:37 | SUCCESS | Save Thumbnail(0_t1eiwj4n) | By-Adosphere_ott488 | 
30/06/2018 14:27:41 | SUCCESS | Save Thumbnail(0_vhmx6jyf) | By-Adosphere_ott488 | 
30/06/2018 14:29:29 | SUCCESS | Save Thumbnail(0_926kkvgy) | By-Adosphere_ott488 | 
30/06/2018 14:33:13 | SUCCESS | Save Thumbnail(0_nkqqgjg6) | By-Adosphere_ott488 | 
30/06/2018 10:36:20 | SUCCESS | login-(Adosphere) | By-Adosphere_ott488 | 
