10/08/2018 04:35:23 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
10/08/2018 05:20:06 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
10/08/2018 05:24:58 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
10/08/2018 07:07:52 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
10/08/2018 09:27:59 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
10/08/2018 09:31:26 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
10/08/2018 10:11:34 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
10/08/2018 17:49:29 | SUCCESS | Add New coupon (ABCD12345) | By-Biocine_ott503 | 
10/08/2018 17:49:33 | SUCCESS | Coupon active(Coupan ID:52,Status:active) | By-Biocine_ott503 | 
10/08/2018 12:22:20 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
