21/12/2018 04:26:29 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
21/12/2018 07:02:29 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
21/12/2018 09:46:46 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
21/12/2018 10:17:15 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
21/12/2018 11:16:54 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
21/12/2018 16:49:57 | SUCCESS | Save Access Control(0_y7xfbpcp) | By-Biocine_ott503 | 
21/12/2018 16:50:50 | SUCCESS | Save Access Control(0_y7xfbpcp) | By-Biocine_ott503 | 
21/12/2018 16:50:58 | SUCCESS | Save Access Control(0_y7xfbpcp) | By-Biocine_ott503 | 
21/12/2018 11:57:09 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
21/12/2018 11:58:45 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
21/12/2018 13:07:28 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
21/12/2018 13:17:23 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
21/12/2018 13:31:52 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
21/12/2018 15:20:03 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
21/12/2018 16:55:27 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
