26/12/2018 04:33:18 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
26/12/2018 04:38:06 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
26/12/2018 08:34:55 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
26/12/2018 08:46:26 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
26/12/2018 08:53:07 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
26/12/2018 08:56:32 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
26/12/2018 08:59:57 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
26/12/2018 10:00:02 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
26/12/2018 10:40:04 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
26/12/2018 11:11:07 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
