27/09/2018 04:26:23 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
27/09/2018 10:42:25 | SUCCESS | Add New coupon (PP098) | By-Biocine_ott503 | 
27/09/2018 10:42:30 | SUCCESS | Coupon active(Coupan ID:60,Status:active) | By-Biocine_ott503 | 
27/09/2018 10:42:33 | SUCCESS | Coupon inactive(Coupan ID:60,Status:inactive) | By-Biocine_ott503 | 
27/09/2018 10:42:37 | SUCCESS | Coupon active(Coupan ID:60,Status:active) | By-Biocine_ott503 | 
27/09/2018 07:01:05 | SUCCESS | login-(DEMO) | By-DEMO_ott503 | 
27/09/2018 07:06:12 | SUCCESS | login-(DEMO) | By-DEMO_ott503 | 
27/09/2018 07:17:47 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
27/09/2018 08:58:49 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
