07/12/2018 04:34:52 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
07/12/2018 04:47:16 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
07/12/2018 06:03:20 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
07/12/2018 07:20:14 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
07/12/2018 10:45:19 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
07/12/2018 10:46:26 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
07/12/2018 11:21:10 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
07/12/2018 17:32:49 | SUCCESS | Delete Menu Header (46) | By-Biocine_ott503 | DELETE FROM header_menu WHERE hid='46'
07/12/2018 17:50:05 | SUCCESS | Add New Header Content(LIVE) | By-Biocine_ott503 | 
07/12/2018 12:49:03 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
