25/04/2018 04:44:15 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
25/04/2018 10:15:00 | SUCCESS | Save Access Control(0_56l1nh8v) | By-Biocine_ott503 | 
25/04/2018 10:15:25 | SUCCESS | Save Access Control(0_56l1nh8v) | By-Biocine_ott503 | 
25/04/2018 10:18:42 | SUCCESS | Save currency_data(0_56l1nh8v) | By-Biocine_ott503 | 
25/04/2018 10:19:49 | SUCCESS | Add New Dashboard user (biocinetest) | By-Biocine_ott503 | 
25/04/2018 05:57:12 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
25/04/2018 11:33:16 | SUCCESS | Save Plan(0_56l1nh8v,1) | By-Biocine_ott503 | 
25/04/2018 11:33:50 | SUCCESS | Save currency_data(0_jkedbxyf) | By-Biocine_ott503 | 
25/04/2018 11:34:18 | SUCCESS | Save Plan(0_jkedbxyf,1) | By-Biocine_ott503 | 
25/04/2018 11:34:38 | SUCCESS | Save currency_data(0_18io2eaa) | By-Biocine_ott503 | 
25/04/2018 11:34:54 | SUCCESS | Save Plan(0_18io2eaa,1) | By-Biocine_ott503 | 
