24/10/2018 05:24:02 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
24/10/2018 05:52:28 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
24/10/2018 09:13:46 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
24/10/2018 14:44:16 | SUCCESS | Save Plan(0_1esi2h87,1) | By-Biocine_ott503 | 
24/10/2018 14:44:30 | SUCCESS | Save currency_data(0_1esi2h87) | By-Biocine_ott503 | 
24/10/2018 16:03:42 | SUCCESS | Save Plan(0_am29malg,1) | By-Biocine_ott503 | 
24/10/2018 10:47:16 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
24/10/2018 10:57:56 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
24/10/2018 11:00:40 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
24/10/2018 11:10:38 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
24/10/2018 11:25:53 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
