04/01/2019 04:58:26 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
04/01/2019 05:21:53 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
04/01/2019 06:30:59 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
04/01/2019 06:49:58 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
04/01/2019 06:51:13 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
04/01/2019 08:52:24 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
04/01/2019 08:59:44 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
04/01/2019 09:00:57 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
04/01/2019 09:02:23 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
04/01/2019 09:03:51 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
04/01/2019 09:29:57 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
04/01/2019 10:51:23 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
04/01/2019 11:00:46 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
04/01/2019 11:40:08 | SUCCESS | login-(Biocine) | By-Biocine_ott503 | 
