20/11/2018 05:37:08 | SUCCESS | login-(jeeyaho) | By-jeeyaho_ott333 | 
20/11/2018 13:51:41 | SUCCESS | login-(jeeyaho) | By-jeeyaho_ott333 | 
20/11/2018 13:59:35 | SUCCESS | login-(jeeyaho) | By-jeeyaho_ott333 | 
20/11/2018 19:30:04 | SUCCESS | Slider image inactive(SliderID:1,Status:inactive) | By-jeeyaho_ott333 | 
20/11/2018 16:37:07 | SUCCESS | login-(jeeyaho) | By-jeeyaho_ott333 | 
20/11/2018 16:37:53 | SUCCESS | login-(jeeyaho) | By-jeeyaho_ott333 | 
20/11/2018 22:08:55 | SUCCESS | Delete Video entry(0_jn0aia4q) | By-jeeyaho_ott333 | 
20/11/2018 22:09:02 | SUCCESS | Delete Video entry(0_uhyfj6js) | By-jeeyaho_ott333 | 
20/11/2018 22:09:47 | SUCCESS | Delete Video entry(0_tm0ht4z8) | By-jeeyaho_ott333 | 
20/11/2018 22:11:14 | SUCCESS | Delete Video entry(0_5tg663c7) | By-jeeyaho_ott333 | 
20/11/2018 22:12:19 | SUCCESS | Delete Video entry(0_4dbgwcyc) | By-jeeyaho_ott333 | 
20/11/2018 22:12:28 | SUCCESS | Delete Video entry(0_sr2hlwi0) | By-jeeyaho_ott333 | 
20/11/2018 22:15:07 | SUCCESS | Delete Video entry(0_0rxc2o8y) | By-jeeyaho_ott333 | 
20/11/2018 22:15:41 | SUCCESS | Delete Video entry(0_m9ae90dq) | By-jeeyaho_ott333 | 
20/11/2018 22:17:40 | SUCCESS | Delete Video entry(0_gaesc2iu) | By-jeeyaho_ott333 | 
20/11/2018 22:18:34 | SUCCESS | Delete Video entry(0_xmeaqcgt) | By-jeeyaho_ott333 | 
20/11/2018 22:18:42 | SUCCESS | Delete Video entry(0_1gg6pwrg) | By-jeeyaho_ott333 | 
20/11/2018 22:19:01 | SUCCESS | Delete Video entry(0_xmfd1b6w) | By-jeeyaho_ott333 | 
20/11/2018 22:22:54 | SUCCESS | Delete Video entry(0_42fes841) | By-jeeyaho_ott333 | 
20/11/2018 22:23:03 | SUCCESS | Delete Video entry(0_0301u9qu) | By-jeeyaho_ott333 | 
20/11/2018 22:23:10 | SUCCESS | Delete Video entry(0_vm5qm0lj) | By-jeeyaho_ott333 | 
20/11/2018 22:23:19 | SUCCESS | Delete Video entry(0_12eer0bb) | By-jeeyaho_ott333 | 
20/11/2018 22:23:33 | SUCCESS | Delete Video entry(0_89dmtew9) | By-jeeyaho_ott333 | 
20/11/2018 22:23:39 | SUCCESS | Delete Video entry(0_ykvr6w41) | By-jeeyaho_ott333 | 
20/11/2018 22:23:45 | SUCCESS | Delete Video entry(0_abx88c7r) | By-jeeyaho_ott333 | 
20/11/2018 22:23:58 | SUCCESS | Delete Video entry(0_6h8hufc1) | By-jeeyaho_ott333 | 
20/11/2018 22:24:15 | SUCCESS | Delete Video entry(0_x2kpey41) | By-jeeyaho_ott333 | 
20/11/2018 22:24:30 | SUCCESS | Delete Video entry(0_im73v88x) | By-jeeyaho_ott333 | 
20/11/2018 22:24:38 | SUCCESS | Delete Video entry(0_84t8xd15) | By-jeeyaho_ott333 | 
